年齢,性別,メニュー
11,男,風船を割るゲームをつくってみよう！
10,男,かみつきティラノを作ろう！
8,女,BOSONでお手軽電子工作
7,男,Scratchでおみくじを作ろう！
9,男,かみつきティラノを作ろう！
9,男,ツインドリル ジェットモグラ号 渦巻走行
10,男,絶対にぶつからないmbot
11,男,ツインドリル ジェットモグラ号 渦巻走行
10,男,絶対にぶつからないmbot
14,女,ツインドリル ジェットモグラ号 渦巻走行
12,男,ツインドリル ジェットモグラ号 渦巻走行
7,男,ツインドリル ジェットモグラ号 渦巻走行
7,女,micro:bitでLチカ名札を作ろう
4,男,micro:bitでLチカ名札を作ろう
9,女,おかしな相談室を作ろう！
7,男,ツインドリル ジェットモグラ号 渦巻走行
9,男,風船を割るゲームをつくってみよう！
8,男,かみつきティラノを作ろう！
8,女,オリジナルの花火を打ち上げてみよう！
10,女,s2arで「ARハウス」を作ろう
10,女,風船を割るゲームをつくってみよう！
9,男,風船を割るゲームをつくってみよう！
11,女,絶対にぶつからないmbot
10,女,ツインドリル ジェットモグラ号 渦巻走行
10,男,ツインドリル ジェットモグラ号 渦巻走行
6,女,ストーリーを作ってしゃべらせよう！
5,男,かみつきティラノを作ろう！
8,男,ツインドリル ジェットモグラ号 渦巻走行
14,男,ツインドリル ジェットモグラ号 渦巻走行
11,男,風船を割るゲームをつくってみよう！
8,男,風船を割るゲームをつくってみよう！
7,男,ツインドリル ジェットモグラ号 渦巻走行
6,男,風船を割るゲームをつくってみよう！
6,男,絶対にぶつからないmbot
7,男,ツインドリル ジェットモグラ号 渦巻走行
9,女,風船を割るゲームをつくってみよう！
7,男,オリジナルの花火を打ち上げてみよう！
12,男,MESHで身近なものをパワーアップ！
8,女,オリジナルの花火を打ち上げてみよう！
4,男,micro:bitでLチカ名札を作ろう
9,男,絶対にぶつからないmbot
7,男,かみつきティラノを作ろう！
10,男,micro:bitでLチカ名札を作ろう
7,男,ツインドリル ジェットモグラ号 渦巻走行
7,女,おかしな相談室を作ろう！
11,男,ツインドリル ジェットモグラ号 渦巻走行
10,女,ストーリーを作ってしゃべらせよう！
8,男,MESHで身近なものをパワーアップ！
9,男,ストーリーを作ってしゃべらせよう！
9,男,ストーリーを作ってしゃべらせよう！
9,女,micro:bitでLチカ名札を作ろう
7,男,かみつきティラノを作ろう！
9,男,MESHで身近なものをパワーアップ！
12,男,micro:bitでLチカ名札を作ろう
8,男,micro:bitでLチカ名札を作ろう
8,男,かみつきティラノを作ろう！
10,男,micro:bitでLチカ名札を作ろう
8,男,オリジナルの花火を打ち上げてみよう！
9,男,風船を割るゲームをつくってみよう！
8,男,絶対にぶつからないmbot
7,男,絶対にぶつからないmbot
10,男,かみつきティラノを作ろう！
10,女,ツインドリル ジェットモグラ号 渦巻走行
9,男,オリジナルの花火を打ち上げてみよう！
4,男,BOSONでお手軽電子工作
28,女,オリジナルの花火を打ち上げてみよう！
6,男,ツインドリル ジェットモグラ号 渦巻走行
8,男,かみつきティラノを作ろう！
10,男,風船を割るゲームをつくってみよう！
11,男,micro:bitでLチカ名札を作ろう
7,男,風船を割るゲームをつくってみよう！
8,女,風船を割るゲームをつくってみよう！
10,男,MESHで身近なものをパワーアップ！
7,女,オリジナルの花火を打ち上げてみよう！
10,男,おかしな相談室を作ろう！
5,男,オリジナルの花火を打ち上げてみよう！
11,男,絶対にぶつからないmbot
9,男,風船を割るゲームをつくってみよう！
8,女,風船を割るゲームをつくってみよう！
10,男,MESHで身近なものをパワーアップ！
9,男,未記録
11,男,風船を割るゲームをつくってみよう！
9,男,風船を割るゲームをつくってみよう！
10,女,s2arで「ARハウス」を作ろう
11,男,おかしな相談室を作ろう！
8,男,風船を割るゲームをつくってみよう！
6,女,風船を割るゲームをつくってみよう！
21,男,micro:bitでLチカ名札を作ろう
11,男,ツインドリル ジェットモグラ号 渦巻走行
8,男,かみつきティラノを作ろう！
10,女,絶対にぶつからないmbot
11,男,micro:bitでLチカ名札を作ろう
9,男,かみつきティラノを作ろう！
7,男,絶対にぶつからないmbot
5,男,かみつきティラノを作ろう！
6,男,風船を割るゲームをつくってみよう！
13,男,風船を割るゲームをつくってみよう！
7,男,micro:bitでLチカ名札を作ろう
10,女,風船を割るゲームをつくってみよう！
8,女,オリジナルの花火を打ち上げてみよう！
10,男,おかしな相談室を作ろう！
10,女,かみつきティラノを作ろう！
9,男,絶対にぶつからないmbot
10,男,ツインドリル ジェットモグラ号 渦巻走行
7,女,Scratchでペイントツールを作ってみよう！
12,男,リモコンでニンジャと戦おう
13,男,リモコンでニンジャと戦おう
6,男,ツインドリル ジェットモグラ号 渦巻走行
13,女,おかしな相談室を作ろう！
14,男,Scratchでおみくじを作ろう！
4,男,BOSONでお手軽電子工作
9,女,Scratchでおみくじを作ろう！
10,男,風船を割るゲームをつくってみよう！
5,男,micro:bitでLチカ名札を作ろう
8,女,ストーリーを作ってしゃべらせよう！
11,男,おかしな相談室を作ろう！
13,男,おかしな相談室を作ろう！
12,男,micro:bitでLチカ名札を作ろう
8,女,Scratchでおみくじを作ろう！
9,男,風船を割るゲームをつくってみよう！
6,男,風船を割るゲームをつくってみよう！
5,男,絶対にぶつからないmbot
5,女,BOSONでお手軽電子工作
10,男,Scratchでおみくじを作ろう！
8,男,ねこにげ
7,男,かみつきティラノを作ろう！
8,男,絶対にぶつからないmbot
8,男,おかしな相談室を作ろう！
6,女,オリジナルの花火を打ち上げてみよう！
11,女,micro:bitでLチカ名札を作ろう
10,女,オリジナルの花火を打ち上げてみよう！
8,男,風船を割るゲームをつくってみよう！
7,女,オリジナルの花火を打ち上げてみよう！
6,男,Scratchでおみくじを作ろう！
9,男,風船を割るゲームをつくってみよう！
18,男,MESHで身近なものをパワーアップ！
11,男,Scratchでおみくじを作ろう！
8,女,Scratchでおみくじを作ろう！
9,女,風船を割るゲームをつくってみよう！
4,男,ツインドリル ジェットモグラ号 渦巻走行
6,男,ツインドリル ジェットモグラ号 渦巻走行
8,男,ツインドリル ジェットモグラ号 渦巻走行
8,男,オリジナルの花火を打ち上げてみよう！
9,男,オリジナルの花火を打ち上げてみよう！
7,女,Scratchでおみくじを作ろう！
8,男,風船を割るゲームをつくってみよう！
5,男,BOSONでお手軽電子工作
13,男,ツインドリル ジェットモグラ号 渦巻走行
10,女,かみつきティラノを作ろう！
10,男,ストーリーを作ってしゃべらせよう！
6,女,かみつきティラノを作ろう！
10,女,Scratchでおみくじを作ろう！
11,男,おかしな相談室を作ろう！
7,女,ねこにげ
8,男,Scratchでおみくじを作ろう！
11,男,絶対にぶつからないmbot
10,男,Scratchでおみくじを作ろう！
4,女,MESHで身近なものをパワーアップ！
9,男,micro:bitでLチカ名札を作ろう
6,女,BOSONでお手軽電子工作
6,男,オリジナルの花火を打ち上げてみよう！
8,女,風船を割るゲームをつくってみよう！
5,女,Scratchでおみくじを作ろう！
7,男,おかしな相談室を作ろう！
9,男,BOSONでお手軽電子工作
9,女,ツインドリル ジェットモグラ号 渦巻走行
5,男,オリジナルの花火を打ち上げてみよう！
11,男,絶対にぶつからないmbot
8,女,オリジナルの花火を打ち上げてみよう！
8,女,風船を割るゲームをつくってみよう！
8,女,オリジナルの花火を打ち上げてみよう！
7,女,Scratchでおみくじを作ろう！
10,男,絶対にぶつからないmbot
7,女,オリジナルの花火を打ち上げてみよう！
11,男,絶対にぶつからないmbot
11,男,ツインドリル ジェットモグラ号 渦巻走行
9,女,BOSONでお手軽電子工作
10,男,ツインドリル ジェットモグラ号 渦巻走行
8,男,ツインドリル ジェットモグラ号 渦巻走行
9,女,BOSONでお手軽電子工作
10,男,ツインドリル ジェットモグラ号 渦巻走行
6,男,絶対にぶつからないmbot
12,女,Scratchでおみくじを作ろう！
11,女,BOSONでお手軽電子工作
5,女,ねこにげ
7,男,ツインドリル ジェットモグラ号 渦巻走行
5,男,ツインドリル ジェットモグラ号 渦巻走行
10,女,micro:bitでLチカ名札を作ろう
8,男,ツインドリル ジェットモグラ号 渦巻走行
7,女,micro:bitでLチカ名札を作ろう
11,男,ツインドリル ジェットモグラ号 渦巻走行
8,女,風船を割るゲームをつくってみよう！
10,男,ツインドリル ジェットモグラ号 渦巻走行
10,男,micro:bitでLチカ名札を作ろう
7,男,BOSONでお手軽電子工作
10,男,風船を割るゲームをつくってみよう！
8,女,絶対にぶつからないmbot
7,女,Scratchでおみくじを作ろう！
7,男,ツインドリル ジェットモグラ号 渦巻走行
8,男,ツインドリル ジェットモグラ号 渦巻走行
10,男,おかしな相談室を作ろう！
7,男,かみつきティラノを作ろう！
8,男,ツインドリル ジェットモグラ号 渦巻走行
8,男,ツインドリル ジェットモグラ号 渦巻走行
11,男,ツインドリル ジェットモグラ号 渦巻走行
13,男,ツインドリル ジェットモグラ号 渦巻走行
7,男,かみつきティラノを作ろう！
4,男,BOSONでお手軽電子工作
7,男,オリジナルの花火を打ち上げてみよう！
8,男,MESHで身近なものをパワーアップ！
6,女,オリジナルの花火を打ち上げてみよう！
2,女,BOSONでお手軽電子工作
7,男,風船を割るゲームをつくってみよう！
7,男,風船を割るゲームをつくってみよう！
10,男,micro:bitでLチカ名札を作ろう
7,男,MESHで身近なものをパワーアップ！
8,男,かみつきティラノを作ろう！
9,その他,ツインドリル ジェットモグラ号 渦巻走行
12,男,風船を割るゲームをつくってみよう！
8,男,かみつきティラノを作ろう！
8,女,オリジナルの花火を打ち上げてみよう！
11,女,風船を割るゲームをつくってみよう！
11,男,MESHで身近なものをパワーアップ！
11,男,Scratchでおみくじを作ろう！
8,女,オリジナルV(ブイ)チューバーになろう！
11,男,Scratchでおみくじを作ろう！
8,男,風船を割るゲームをつくってみよう！
8,女,未記録
8,男,ツインドリル ジェットモグラ号 渦巻走行
8,女,オリジナルの花火を打ち上げてみよう！
10,女,絶対にぶつからないmbot
5,女,絶対にぶつからないmbot
8,男,BOSONでお手軽電子工作
5,男,BOSONでお手軽電子工作
